iso_code	continent	location	date	total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	new_tests	total_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	tests_units	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	new_vaccinations_smoothed_per_million	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_thousand	life_expectancy	human_development_index	excess_mortality
AFG	Asia	Afghanistan	2021-07-24	143439.0	0.0	798.0	6357.0	0.0	53.429	3684.693	0.0	20.499	163.3	0.0	1.372																												53.24	38928341.0	54.422	18.6	2.581	1.337	1803.987		597.029	9.59			37.746	0.5	64.83	0.511	
ALB	Europe	Albania	2021-07-24	132853.0	25.0	26.857	2456.0	0.0	0.0	46164.779	8.687	9.333	853.43	0.0	0.0																													2877800.0	104.871	38.0	13.188	8.643	11803.431	1.1	304.195	10.08	7.1	51.2		2.89	78.57	0.795	
DZA	Africa	Algeria	2021-07-24	160868.0	1305.0	1236.857	4042.0	16.0	17.143	3668.51	29.76	28.206	92.176	0.365	0.391																													43851043.0	17.348	29.1	6.211	3.857	13913.839	0.5	278.364	6.73	0.7	30.4	83.741	1.9	76.88	0.748	
AND	Europe	Andorra	2021-07-24	14498.0	0.0	32.143	127.0	0.0	0.0	187639.94	0.0	416.008	1643.694	0.0	0.0																													77265.0	163.755						109.135	7.97	29.0	37.8			83.73	0.868	
AGO	Africa	Angola	2021-07-24	41736.0	331.0	147.0	982.0	5.0	4.0	1269.873	10.071	4.473	29.879	0.152	0.122																													32866268.0	23.89	16.8	2.405	1.362	5819.495		276.045	3.94			26.664		61.15	0.581	
ATG	North America	Antigua and Barbuda	2021-07-24	1280.0	3.0	1.714	43.0	1.0	0.143	13070.828	30.635	17.506	439.098	10.212	1.459																													97928.0	231.845	32.1	6.933	4.631	21490.943		191.511	13.17				3.8	77.02	0.778	
ARG	South America	Argentina	2021-07-24	4839109.0	11136.0	12809.429	103584.0	225.0	307.143	107069.937	246.395	283.421	2291.896	4.978	6.796																			29437762.0	23492843.0	5944919.0	362482.0	357647.0	65.13	51.98	13.15	7913.0		45195777.0	16.177	31.9	11.198	7.441	18933.907	0.6	191.032	5.5	16.2	27.7		5.0	76.67	0.845	
ARM	Asia	Armenia	2021-07-24	228632.0	250.0	190.571	4584.0	5.0	3.571	77156.242	84.367	64.312	1546.958	1.687	1.205																													2963234.0	102.931	35.7	11.232	7.571	8787.58	1.8	341.01	7.11	1.5	52.1	94.043	4.2	75.09	0.776	
AUS	Oceania	Australia	2021-07-24	32918.0	324.0	145.571	918.0	2.0	0.571	1290.908	12.706	5.709	36.0	0.078	0.022																			11032835.0	7760871.0	3271964.0	181842.0	151727.0	43.27	30.43	12.83	5950.0		25499881.0	3.202	37.9	15.504	10.129	44648.71	0.5	107.791	5.07	13.0	16.5		3.84	83.44	0.944	
AUT	Europe	Austria	2021-07-24	655938.0	349.0	360.857	10731.0	1.0	0.429	72830.21	38.75	40.067	1191.486	0.111	0.048																													9006400.0	106.749	44.4	19.202	13.748	45436.686	0.7	145.183	6.35	28.4	30.9		7.37	81.54	0.922	
AZE	Asia	Azerbaijan	2021-07-24	340057.0	412.0	267.714	5002.0	0.0	1.571	33538.922	40.634	26.404	493.334	0.0	0.155																			4516987.0	2634015.0	1882972.0		27643.0	44.55	25.98	18.57	2726.0		10139175.0	119.309	32.4	6.018	3.871	15847.419		559.812	7.11	0.3	42.5	83.241	4.7	73.0	0.756	
BHS	North America	Bahamas	2021-07-24	13781.0	0.0	53.857	274.0	0.0	0.143	35044.043	0.0	136.955	696.761	0.0	0.363																													393248.0	39.497	34.3	8.996	5.2	27717.847		235.954	13.17	3.1	20.4		2.9	73.92	0.814	
BHR	Asia	Bahrain	2021-07-24	268413.0	75.0	88.143	1382.0	1.0	0.286	157743.113	44.077	51.801	812.185	0.588	0.168																			2266289.0	1101005.0	1041059.0	3591.0	4445.0	133.19	64.7	61.18	2612.0		1701583.0	1935.907	32.4	2.372	1.387	43290.705		151.689	16.52	5.8	37.6		2.0	77.29	0.852	
BGD	Asia	Bangladesh	2021-07-24	1153344.0	6780.0	8704.714	19046.0	195.0	196.714	7003.147	41.168	52.855	115.648	1.184	1.194																			10322957.0	6033439.0	4289518.0		30363.0	6.27	3.66	2.6	184.0		164689383.0	1265.036	27.5	5.098	3.262	3523.984	14.8	298.003	8.38	1.0	44.7	34.808	0.8	72.59	0.632	
BRB	North America	Barbados	2021-07-24	4339.0	9.0	12.571	48.0	0.0	0.0	15098.949	31.318	43.746	167.031	0.0	0.0																													287371.0	664.463	39.8	14.952	9.473	16978.068		170.05	13.57	1.9	14.5	88.469	5.8	79.19	0.814	
BLR	Europe	Belarus	2021-07-24	439828.0	1061.0	917.0	3385.0	9.0	9.857	46545.99	112.283	97.044	358.227	0.952	1.043																													9449321.0	46.858	40.3	14.799	9.788	17167.967		443.129	5.18	10.5	46.1		11.0	74.79	0.823	
BEL	Europe	Belgium	2021-07-24	1113465.0	1304.0	1436.0	25220.0	3.0	1.571	96074.365	112.515	123.904	2176.086	0.259	0.136																													11589616.0	375.564	41.8	18.571	12.849	42658.576	0.2	114.898	4.29	25.1	31.4		5.64	81.63	0.931	
BLZ	North America	Belize	2021-07-24	13917.0	24.0	33.429	332.0	0.0	0.0	35000.666	60.359	84.071	834.966	0.0	0.0																													397621.0	16.426	25.0	3.853	2.279	7824.362		176.957	17.11			90.083	1.3	74.62	0.716	
BEN	Africa	Benin	2021-07-24	8324.0	0.0	11.429	107.0	0.0	0.0	686.618	0.0	0.943	8.826	0.0	0.0																			57886.0	43377.0	14509.0		444.0	0.48	0.36	0.12	37.0		12123198.0	99.11	18.8	3.244	1.942	2064.236	49.6	235.848	0.99	0.6	12.3	11.035	0.5	61.77	0.545	
BTN	Asia	Bhutan	2021-07-24	2482.0	12.0	10.143	2.0	0.0	0.0	3216.643	15.552	13.145	2.592	0.0	0.0																													771612.0	21.188	28.6	4.885	2.977	8708.597	1.5	217.066	9.75			79.807	1.7	71.78	0.654	
BOL	South America	Bolivia	2021-07-24	467975.0	1657.0	894.429	17637.0	61.0	27.714	40090.28	141.951	76.624	1510.919	5.226	2.374																													11673029.0	10.202	25.4	6.704	4.393	6885.829	7.1	204.299	6.89			25.383	1.1	71.51	0.718	
BIH	Europe	Bosnia and Herzegovina	2021-07-24	205420.0	0.0	19.286	9675.0	0.0	1.286	62612.491	0.0	5.878	2948.962	0.0	0.392																													3280815.0	68.496	42.5	16.569	10.711	11713.895	0.2	329.635	10.08	30.2	47.7	97.164	3.5	77.4	0.78	
BWA	Africa	Botswana	2021-07-24	97657.0	0.0	1646.286	1375.0	0.0	14.429	41527.454	0.0	700.063	584.702	0.0	6.136																													2351625.0	4.044	25.8	3.941	2.242	15807.374		237.372	4.81	5.7	34.4		1.8	69.59	0.735	
BRA	South America	Brazil	2021-07-24	19670534.0	38091.0	46869.429	549448.0	1108.0	1168.857	92541.347	179.202	220.5	2584.915	5.213	5.499																			131845297.0	98514854.0	37145993.0	322634.0	1150223.0	62.03	46.35	17.48	5411.0		212559409.0	25.04	33.5	8.552	5.06	14103.452	3.4	177.961	8.11	10.1	17.9		2.2	75.88	0.765	
BRN	Asia	Brunei	2021-07-24	321.0	10.0	5.429	3.0	0.0	0.0	733.743	22.858	12.409	6.857	0.0	0.0																													437483.0	81.347	32.4	4.591	2.382	71809.251		201.285	12.79	2.0	30.9		2.7	75.86	0.838	
BGR	Europe	Bulgaria	2021-07-24	423629.0	54.0	99.857	18193.0	0.0	3.429	60967.454	7.772	14.371	2618.284	0.0	0.493																			1966097.0	1069399.0	896698.0	3540.0	8027.0	28.3	15.39	12.91	1155.0		6948445.0	65.18	44.7	20.801	13.272	18563.307	1.5	424.688	5.81	30.1	44.4		7.454	75.05	0.816	
BFA	Africa	Burkina Faso	2021-07-24	13538.0	1.0	0.286	169.0	0.0	0.0	647.65	0.048	0.014	8.085	0.0	0.0																			37120.0	34749.0	2371.0		263.0	0.18	0.17	0.01	13.0		20903278.0	70.151	17.6	2.409	1.358	1703.102	43.7	269.048	2.42	1.6	23.9	11.877	0.4	61.58	0.452	
BDI	Africa	Burundi	2021-07-24	6128.0	110.0	46.571	8.0	0.0	0.0	515.357	9.251	3.917	0.673	0.0	0.0																													11890781.0	423.062	17.5	2.562	1.504	702.225	71.7	293.068	6.05			6.144	0.8	61.58	0.433	
KHM	Asia	Cambodia	2021-07-24	72104.0	860.0	824.0	1254.0	32.0	25.429	4312.706	51.439	49.285	75.005	1.914	1.521																													16718971.0	90.672	25.6	4.412	2.385	3645.07		270.892	4.0	2.0	33.7	66.229	0.8	69.82	0.594	
CMR	Africa	Cameroon	2021-07-24	82003.0	132.0	76.571	1334.0	2.0	0.571	3089.106	4.973	2.884	50.253	0.075	0.022																			318485.0	269339.0	49146.0		6779.0	1.2	1.01	0.19	255.0		26545864.0	50.885	18.8	3.165	1.919	3364.926	23.8	244.661	7.2			2.735	1.3	59.29	0.563	
CAN	North America	Canada	2021-07-24	1433525.0	325.0	441.143	26504.0	7.0	7.429	37982.063	8.611	11.688	702.239	0.185	0.197																			47388172.0	26733653.0	20654519.0	247861.0	337236.0	125.56	70.83	54.73	8935.0		37742157.0	4.037	41.4	16.984	10.797	44017.591	0.5	105.599	7.37	12.0	16.6		2.5	82.43	0.929	
CPV	Africa	Cape Verde	2021-07-24	33541.0	89.0	38.714	297.0	0.0	0.286	60326.842	160.075	69.632	534.184	0.0	0.514																			152937.0	135281.0	17656.0		3233.0	27.51	24.33	3.18	5815.0		555988.0	135.58	25.7	4.46	3.437	6222.554		182.219	2.42	2.1	16.5		2.1	72.98	0.665	
CAF	Africa	Central African Republic	2021-07-24	7147.0	0.0	0.714	98.0	0.0	0.0	1479.782	0.0	0.148	20.291	0.0	0.0																			93790.0	85381.0	8409.0		451.0	1.94	1.77	0.17	93.0		4829764.0	7.479	18.3	3.655	2.251	661.24		435.727	6.1			16.603	1.0	53.28	0.397	
TCD	Africa	Chad	2021-07-24	4969.0	2.0	0.714	174.0	0.0	0.0	302.511	0.122	0.043	10.593	0.0	0.0																													16425859.0	11.833	16.7	2.486	1.446	1768.153	38.4	280.995	6.1			5.818		54.24	0.398	
CHL	South America	Chile	2021-07-24	1607749.0	1391.0	1324.0	34958.0	83.0	79.286	84103.966	72.765	69.261	1828.71	4.342	4.148																													19116209.0	24.282	35.4	11.087	6.938	22767.037	1.3	127.993	8.46	34.2	41.5		2.11	80.18	0.851	
CHN	Asia	China	2021-07-24	92587.0	69.0	40.857	4636.0	0.0	0.0	64.327	0.048	0.028	3.221	0.0	0.0																			1538707000.0			13810000.0	13040000.0	106.9			9060.0		1439323774.0	147.674	38.7	10.641	5.929	15308.712	0.7	261.899	9.74	1.9	48.4		4.34	76.91	0.761	
COL	South America	Colombia	2021-07-24	4716798.0	11064.0	13648.286	118538.0	350.0	386.714	92699.109	217.441	268.229	2329.624	6.879	7.6																													50882884.0	44.223	32.2	7.646	4.312	13254.949	4.5	124.24	7.44	4.7	13.5	65.386	1.71	77.29	0.767	
COM	Africa	Comoros	2021-07-24	4014.0	0.0	0.714	147.0	0.0	0.0	4615.942	0.0	0.821	169.044	0.0	0.0																			125960.0	84740.0	41220.0		1846.0	14.48	9.74	4.74	2123.0		869595.0	437.352	20.4	2.963	1.726	1413.89	18.1	261.516	11.88	4.4	23.6	15.574	2.2	64.32	0.554	
COG	Africa	Congo	2021-07-24	13117.0	0.0	26.286	176.0	0.0	0.571	2377.09	0.0	4.764	31.895	0.0	0.104																													5518092.0	15.405	19.0	3.402	2.063	4881.406	37.0	344.094	7.2	1.7	52.3	47.964		64.57	0.574	
CRI	North America	Costa Rica	2021-07-24	398608.0	1139.0	1258.571	4941.0	8.0	9.571	78248.74	223.591	247.064	969.943	1.57	1.879																													5094114.0	96.079	33.6	9.468	5.694	15524.995	1.3	137.973	8.78	6.4	17.4	83.841	1.13	80.28	0.81	
CIV	Africa	Cote d'Ivoire	2021-07-24	49554.0	168.0	61.286	324.0	0.0	0.571	1878.591	6.369	2.323	12.283	0.0	0.022																												20.37	26378275.0	76.399	18.7	2.933	1.582	3601.006	28.2	303.74	2.42			19.351		57.78	0.538	
HRV	Europe	Croatia	2021-07-24	362496.0	191.0	144.0	8245.0	0.0	1.286	88300.204	46.526	35.077	2008.395	0.0	0.313																													4105268.0	73.726	44.0	19.724	13.053	22669.797	0.7	253.782	5.59	34.3	39.9		5.54	78.49	0.851	
CUB	North America	Cuba	2021-07-24	324115.0	7732.0	6929.571	2271.0	68.0	61.143	28615.343	682.64	611.795	200.501	6.004	5.398																													11326616.0	110.408	43.1	14.738	9.719			190.968	8.27	17.1	53.3	85.198	5.2	78.8	0.783	
CUW	North America	Curacao	2021-07-24																															173470.0	92072.0	81398.0	460.0	237.0	105.71	56.11	49.6	1444.0		164100.0	362.644	41.7	16.367	10.068				11.62					78.88		
CYP	Europe	Cyprus	2021-07-24	96991.0	1684.0	950.429	399.0	1.0	2.143	109223.484	1896.386	1070.296	449.322	1.126	2.413																													888005.0	127.657	37.3	13.416	8.563	32415.132		141.171	9.24	19.6	52.7		3.4	80.98	0.887	
CZE	Europe	Czechia	2021-07-24	1672340.0	200.0	216.714	30357.0	10.0	3.0	156162.369	18.676	20.237	2834.723	0.934	0.28																			9968164.0	5513092.0	4574457.0	32464.0	67236.0	93.08	51.48	42.72	6278.0		10708982.0	137.176	43.3	19.027	11.58	32605.906		227.485	6.82	30.5	38.3		6.63	79.38	0.9	
COD	Africa	Democratic Republic of Congo	2021-07-24	47786.0	382.0	337.143	1021.0	0.0	5.286	533.556	4.265	3.764	11.4	0.0	0.059																			81384.0	78871.0	2513.0		530.0	0.09	0.09	0.0	6.0		89561404.0	35.879	17.0	3.02	1.745	808.133	77.1	318.949	6.1			4.472		60.68	0.48	
DNK	Europe	Denmark	2021-07-24	311935.0	765.0	783.286	2543.0	0.0	0.0	53854.293	132.074	135.231	439.038	0.0	0.0																													5792203.0	136.52	42.3	19.677	12.325	46682.515	0.2	114.767	6.41	19.3	18.8		2.5	80.9	0.94	
